SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
-0.5384615384615383,1.0,-0.8571428571428574,-0.7333333333333334,Iris-setosa
-0.6923076923076915,0.0,-0.8571428571428574,-0.7333333333333334,Iris-setosa
-0.8461538461538454,0.4000000000000004,-0.8857142857142858,-0.7333333333333334,Iris-setosa
-0.9230769230769228,0.20000000000000015,-0.8285714285714287,-0.7333333333333334,Iris-setosa
-0.6153846153846149,1.2000000000000002,-0.8571428571428574,-0.7333333333333334,Iris-setosa
-0.3076923076923071,1.7999999999999998,-0.7714285714285716,-0.6,Iris-setosa
-0.9230769230769228,0.7999999999999998,-0.8571428571428574,-0.6666666666666666,Iris-setosa
-0.6153846153846149,0.7999999999999998,-0.8285714285714287,-0.7333333333333334,Iris-setosa
-1.076923076923076,-0.20000000000000015,-0.8571428571428574,-0.7333333333333334,Iris-setosa
-0.6923076923076915,0.20000000000000015,-0.8285714285714287,-0.7999999999999999,Iris-setosa
-0.3076923076923071,1.4000000000000004,-0.8285714285714287,-0.7333333333333334,Iris-setosa
-0.7692307692307688,0.7999999999999998,-0.8000000000000002,-0.7333333333333334,Iris-setosa
-0.7692307692307688,0.0,-0.8571428571428574,-0.7999999999999999,Iris-setosa
-1.1538461538461533,0.0,-0.9428571428571432,-0.7999999999999999,Iris-setosa
0.0,2.0,-0.9142857142857144,-0.7333333333333334,Iris-setosa
-0.3076923076923071,1.7999999999999998,-0.8857142857142858,-0.6,Iris-setosa
-0.5384615384615383,1.0,-0.8571428571428574,-0.6666666666666666,Iris-setosa
-0.07692307692307661,1.5999999999999996,-0.7714285714285716,-0.6666666666666666,Iris-setosa
-0.5384615384615383,1.5999999999999996,-0.8285714285714287,-0.6666666666666666,Iris-setosa
-0.3076923076923071,0.7999999999999998,-0.7714285714285716,-0.7333333333333334,Iris-setosa
-0.5384615384615383,1.4000000000000004,-0.8285714285714287,-0.6,Iris-setosa
-0.9230769230769228,1.2000000000000002,-0.9714285714285716,-0.7333333333333334,Iris-setosa
-0.5384615384615383,0.5999999999999996,-0.7714285714285716,-0.5333333333333333,Iris-setosa
-0.7692307692307688,0.7999999999999998,-0.7142857142857145,-0.7333333333333334,Iris-setosa
-0.6153846153846149,0.0,-0.8000000000000002,-0.7333333333333334,Iris-setosa
-0.6153846153846149,0.7999999999999998,-0.8000000000000002,-0.6,Iris-setosa
-0.461538461538461,1.0,-0.8285714285714287,-0.7333333333333334,Iris-setosa
-0.461538461538461,0.7999999999999998,-0.8571428571428574,-0.7333333333333334,Iris-setosa
-0.8461538461538454,0.4000000000000004,-0.8000000000000002,-0.7333333333333334,Iris-setosa
-0.7692307692307688,0.20000000000000015,-0.8000000000000002,-0.7333333333333334,Iris-setosa
-0.3076923076923071,0.7999999999999998,-0.8285714285714287,-0.6,Iris-setosa
-0.6923076923076915,0.20000000000000015,-0.8285714285714287,-0.7999999999999999,Iris-setosa
-0.6153846153846149,0.4000000000000004,-0.9142857142857144,-0.7333333333333334,Iris-setosa
-0.2307692307692305,1.0,-0.8857142857142858,-0.7333333333333334,Iris-setosa
-0.6923076923076915,0.20000000000000015,-0.8285714285714287,-0.7999999999999999,Iris-setosa
-1.076923076923076,0.0,-0.8857142857142858,-0.7333333333333334,Iris-setosa
-0.5384615384615383,0.7999999999999998,-0.8285714285714287,-0.7333333333333334,Iris-setosa
-0.6153846153846149,1.0,-0.8857142857142858,-0.6666666666666666,Iris-setosa
-1.076923076923076,0.4000000000000004,-0.8857142857142858,-0.7333333333333334,Iris-setosa
-0.6153846153846149,1.0,-0.8000000000000002,-0.4666666666666667,Iris-setosa
-0.5384615384615383,1.5999999999999996,-0.7142857142857145,-0.6,Iris-setosa
